index,source_name,ra,dec,glon,glat,energy_flux,flux_uncertainty,significance,significance_peak,variability_index,frac_variability,spectrum_type,pl_index,pl_flux_density,class1,class2,assoc1,assoc2,flags
6830,4FGL J2230.6+6619c,337.6652,66.3298,109.44424,7.217266,2.6609847e-12,9.0099374e-13,3.1000428,-inf,11.952828,0.0,PowerLaw,2.4810803,3.5995495e-14,,,,,4136
6831,4FGL J2230.9-7815,337.7282,-78.2594,311.30557,-36.480606,4.5990516e-12,4.4701393e-13,14.000244,8.244832,46.55126,0.5546057,PowerLaw,2.3888113,2.573427e-13,fsrq,,PKS 2225-785,,0
6832,4FGL J2231.0-4416,337.758,-44.2791,352.21976,-57.10318,7.174817e-12,4.2522615e-13,27.095078,19.699593,294.0473,0.8713592,LogParabola,2.441911,4.344163e-12,fsrq,,PKS 2227-445,,0
6833,4FGL J2231.6+2754,337.9043,27.906,88.795616,-25.543924,9.862179e-13,2.5343524e-13,5.899574,-inf,11.765366,0.0,PowerLaw,1.7939874,1.5221609e-15,bcu,,1RXS J223135.0+275430,,0
6834,4FGL J2232.3+7616,338.0921,76.267,114.85099,15.62776,1.1071341e-12,3.3968846e-13,4.5361013,-inf,13.916444,0.0,PowerLaw,2.2019112,5.6547026e-15,bcu,,1RXS J223219.3+761713,,0
6835,4FGL J2232.3+6246,338.0988,62.775,107.77313,4.06984,6.496684e-12,1.2954681e-12,6.5726333,-inf,6.4506764,0.0,PowerLaw,2.5547829,1.5108558e-13,bcu,,8C 2230+625,,8
6836,4FGL J2232.6+1143,338.1525,11.7306,77.438484,-38.583153,3.7401598e-10,2.4184225e-12,340.59933,400.5192,89796.516,1.541038,PLSuperExpCutoff,2.3030477,3.63372e-11,FSRQ,,CTA 102,,258
6837,4FGL J2232.6-2023,338.1725,-20.3909,37.365078,-57.65388,2.117198e-12,3.2943705e-13,10.047156,-inf,13.931113,0.08155361,PowerLaw,1.9591058,1.3412302e-14,bll,,NVSS J223248-202226,,0
6838,4FGL J2232.8+1334,338.2245,13.5764,79.00779,-37.212517,1.2185824e-12,2.8654347e-13,5.773407,-inf,10.707165,0.0,PowerLaw,1.8423407,3.0693257e-15,bll,,RX J2233.0+1335,,0
6839,4FGL J2233.3+6530c,338.3495,65.5082,109.26194,6.3686204,5.4485817e-12,1.0607009e-12,8.491751,-inf,11.636549,0.0,LogParabola,2.5780382,3.259208e-13,,,,,36
6840,4FGL J2233.9-1229,338.4992,-12.488,50.55684,-54.677193,1.7672177e-12,3.4143622e-13,6.547635,-inf,12.554588,0.0,PowerLaw,2.1632936,2.878793e-14,bcu,,PKS 2231-127,,4
6841,4FGL J2234.1-2656,338.5425,-26.9375,25.290482,-59.528767,1.0770045e-11,6.4806537e-13,37.56463,20.653494,204.2038,0.63903695,LogParabola,2.0817912,1.1335321e-12,bll,,PMN J2234-2656,,0
6842,4FGL J2234.2-4156,338.5676,-41.9411,356.03513,-58.396584,3.018279e-12,3.1031598e-13,14.823806,6.781223,40.030552,0.60812765,PowerLaw,2.0428414,5.812047e-14,,,,,0
6843,4FGL J2234.7+0943,338.6906,9.732,76.26742,-40.44269,1.0382563e-11,5.8224703e-13,38.5403,-inf,23.453922,0.12285809,PLSuperExpCutoff,2.195992,9.150112e-13,MSP,,PSR J2234+0944,,0
6844,4FGL J2234.8-2610,338.7116,-26.1752,26.82256,-59.559494,1.2615415e-12,2.9279587e-13,5.1144342,-inf,18.79868,0.0,PowerLaw,2.090588,1.3803518e-14,,,,,0
6845,4FGL J2235.1-0623,338.7994,-6.3955,59.330734,-51.583557,2.3831252e-12,3.640405e-13,8.016645,-inf,27.056372,0.59507567,PowerLaw,2.1256995,5.117275e-14,bcu,,PMN J2235-0623,,0
6846,4FGL J2235.3+1818,338.8356,18.311,83.16829,-33.849815,2.3757264e-12,4.5657504e-13,11.321342,-inf,18.107319,0.26988223,LogParabola,2.2581582,1.2958182e-13,bll,,2MASS J22352860+1816356,,0
6847,4FGL J2235.3-4836,338.8409,-48.6015,344.46588,-56.08469,8.614428e-12,4.5164526e-13,30.637463,15.15657,220.87877,0.6286675,LogParabola,2.4517908,3.5620118e-12,fsrq,,PKS 2232-488,,0
6848,4FGL J2235.8-3627,338.9708,-36.4605,6.342658,-59.90193,9.670389e-12,5.3168315e-13,38.431454,16.823679,99.305046,0.38244402,LogParabola,2.2197626,2.1269568e-12,bll,,NVSS J223554-362901,,0
6849,4FGL J2236.2-1706,339.0648,-17.1066,43.625168,-57.24788,4.27938e-12,3.938604e-13,14.528086,-inf,12.012352,0.0,PowerLaw,2.2639325,2.396515e-13,bll,,PKS 2233-173,,0
6850,4FGL J2236.3+2828,339.0962,28.4832,90.11948,-25.649616,5.4138118e-11,1.0316891e-12,114.70223,60.456398,1281.397,0.48589805,LogParabola,2.2319756,1.679451e-11,fsrq,,B2 2234+28A,,0
6851,4FGL J2236.4-2309,339.1246,-23.1552,32.785168,-59.29519,4.7075286e-12,4.4888244e-13,16.473034,9.124445,54.435474,0.4395775,LogParabola,2.6468997,3.81581e-12,bcu,,PMN J2236-2309,,0
6852,4FGL J2236.5-1433,339.1444,-14.5557,47.88109,-56.21569,5.3804985e-11,1.126759e-12,114.041954,74.66793,1889.905,0.6985555,LogParabola,2.1719177,1.5008184e-11,BLL,,PKS 2233-148,,0
6853,4FGL J2236.6+3706,339.1608,37.1028,95.13651,-18.389242,1.4608589e-12,3.2918584e-13,7.0217557,-inf,24.939434,0.7208689,PowerLaw,1.9720777,4.0912407e-15,bll,,NVSS J223626+370713,,0
